title,quality,style,r18,play,composition,girl,girlAction,male,bgBase,bgTop,bgBottom,girlTop_c,girlBottom_c,girlUnder_c,girlAction_c,clothesStatus,上下フラグ,キャラヘッダフラグ,縦横比,clothesFlg,seed_id
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from front","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","open clothes","3","2","","1","195"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","breast focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from side","focus on girl,girl focus,main subject girl,breast","embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","open clothes","3","2","","1","196"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","back focus,upper body,torso focus,cropped head,head out of frame,neck down,from shoulders to waist,body focus,from behind,","focus on girl,girl focus,main subject girl,back","embarrassed,sad,tears,blush,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","open clothes","3","2","","1","197"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front,straight-on","focus on girl,girl focus,main subject girl,","embarrassed,sad,tears,blush,hugging own body","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","open clothes","3","2","","1","198"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front,straight-on","focus on girl,girl focus,main subject girl,","embarrassed,sad,tears,blush,covering own nipples","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","open clothes","3","2","","1","199"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","upper body,from chest up,portrait,medium close-up,upper torso,focus on upper body,from front,straight-on","focus on girl,girl focus,main subject girl,","embarrassed,sad,tears,blush,grabbing own breasts,","","bedroom,dark,simple room,no furniture,","white bed,","","white short-sleeved gym shirt with red collar and sleeve bands,","","","","open clothes","3","2","","1","200"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from front,straight-on","focus on girl,girl focus,main subject girl,crotch","stand up","","bedroom,dark,simple room,no furniture,","white bed,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","pull up clothes","3","2","","10","201"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from side","focus on girl,girl focus,main subject girl,thigh","stand up","","bedroom,dark,simple room,no furniture,","white bed,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","pull up clothes","3","2","","10","202"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,ass focus,back view,rear view,hips","focus on girl,girl focus,main subject girl,hip","stand up","","bedroom,dark,simple room,no furniture,","white bed,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","pull up clothes","3","2","","10","203"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from front,straight-on","focus on girl,girl focus,main subject girl,crotch","stand up","","bedroom,dark,simple room,no furniture,","white bed,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","pull up clothes","3","2","","10","204"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,thick thighs,thigh focus,upper legs,zettai ryouiki,from side","focus on girl,girl focus,main subject girl,thigh","stand up","","bedroom,dark,simple room,no furniture,","white bed,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","pull up clothes","3","2","","10","205"
"","masterpiece,best quality,very aesthetic,absurdres,high resolution","game cg,anime coloring,soft lighting,thin lines,pastel colors,depth of field","nsfw,mosaic censoring","1 girl,solo,","lower body focus,legs focus,hip focus,thigh focus,cropped torso,from waist down,close-up,from front,ass focus,back view,rear view,hips","focus on girl,girl focus,main subject girl,hip","stand up","","bedroom,dark,simple room,no furniture,","white bed,","","","red gym bloomers with white stripes on sides,high-leg gym bloomers,white socks,,white panties,","1","","pull up clothes","3","2","","10","206"
